CarID,Driver,Maker,Model,Year,ConstructorID
1,Lewis Hamilton,Mercedes,AMG,2018,1
2,Valterri Bottas,Mercedes,W10,2019,1
3,Max Verstappen,Red Bull,RB15,2019,2
4,Charles Leclerc,Ferrari,SF90,2019,3
5,Sebastian Vettel,Ferrari,SF71H,2018,3
6,Carlos Sainz Jr.,McLaren,MCL34,2019,9
7,Pierre Gasly,Red Bull,RB15,2018,2
8,Alexander Albon,Toro Rosso,RB16,2019,8
9,Daniel Ricciardo,Renault,RS19,2019,5
10,Sergio Perez,Racing Point,RP19,2017,7
11,Lando Norris,McLaren,MCL33,2018,9
12,Kimi Raikkonen,Alfa Romeo,C38,2018,6
13,Nico Hulkenberg,Renault,FW32,2016,5
14,Daniil Kyvat,Toro Rosso,STR14,2019,8
15,Lance Stroll,Racing Point,AT01,2018,7
16,Kevin Magnussen,Haas,F1,2019,4
17,Antonion Giovinazzi,Alfa Romeo,C39,2019,6
18,Robert Kubica,Williams,FW42,2019,10
19,Romain Grosjean,Haas,VF-19,2019,4
20,George Russell,Williams,FW40,2018,10
