RaceID,AvgLapTime,CarID,FastestLap,Ranking,Points
1 ,62.29,11,1,1,27
1 ,66.45,12,,2,18
1 ,67.77,4,,3,15
1 ,69.51,15,,4,12
1 ,72.08,3,,5,10
1 ,72.48,5,,6,8
1 ,73.52,19,,7,6
1 ,76.34,7,,8,4
1 ,76.81,16,,9,2
1 ,78.23,9,,10,1
1 ,82.56,8,,11,0
1 ,83.71,1,,12,0
1 ,86.91,10,,13,0
1 ,87.78,18,,14,0
1 ,88.18,6,,15,0
1 ,90.09,13,,16,0
1 ,92.82,20,,17,0
1 ,93.00,2,,18,0
1 ,98.86,14,,19,0
1 ,99.35,17,,20,0
2 ,60.12,12,,1,26
2 ,60.34,11,,2,18
2 ,62.83,9,1,3,16
2 ,63.94,17,,4,12
2 ,65.22,6,,5,10
2 ,66.28,16,,6,8
2 ,68.09,8,,7,6
2 ,70.39,1,,8,4
2 ,70.90,3,,9,2
2 ,79.69,13,,10,1
2 ,82.04,4,,11,0
2 ,84.69,20,,12,0
2 ,85.59,14,,13,0
2 ,88.62,2,,14,0
2 ,90.04,10,,15,0
2 ,91.51,15,,16,0
2 ,92.47,7,,17,0
2 ,94.18,18,,18,0
2 ,95.34,19,,19,0
2 ,97.90,5,,20,0
3 ,63.00,7,,1,26
3 ,65.09,2,,2,18
3 ,65.31,16,,3,15
3 ,65.86,3,,4,12
3 ,67.86,12,1,5,11
3 ,68.38,6,,6,8
3 ,69.98,18,,7,6
3 ,71.37,5,,8,4
3 ,73.83,1,,9,2
3 ,76.20,11,,10,1
3 ,77.06,10,,11,0
3 ,82.64,8,,12,0
3 ,83.10,13,,13,0
3 ,83.99,4,,14,0
3 ,92.30,15,,15,0
3 ,92.58,14,,16,0
3 ,95.35,19,,17,0
3 ,96.68,9,,18,0
3 ,97.80,20,,19,0
3 ,98.95,17,,20,0
4 ,60.77,11,,1,26
4 ,62.19,10,1,2,19
4 ,62.71,5,,3,15
4 ,66.45,13,,4,12
4 ,66.92,12,,5,10
4 ,70.42,14,,6,8
4 ,73.28,19,,7,6
4 ,75.03,16,,8,4
4 ,79.24,7,,9,2
4 ,79.44,15,,10,1
4 ,79.65,6,,11,0
4 ,81.18,17,,12,0
4 ,83.36,9,,13,0
4 ,85.58,20,,14,0
4 ,86.40,18,,15,0
4 ,87.75,2,,16,0
4 ,91.37,1,,17,0
4 ,91.63,4,,18,0
4 ,92.03,8,,19,0
4 ,94.38,3,,20,0
5 ,61.81,5,,1,26
5 ,62.19,8,,2,18
5 ,62.52,16,1,3,16
5 ,65.64,17,,4,12
5 ,66.76,18,,5,10
5 ,69.15,6,,6,8
5 ,72.25,2,,7,6
5 ,74.32,19,,8,4
5 ,76.73,1,,9,2
5 ,80.95,3,,10,1
5 ,81.77,20,,11,0
5 ,82.00,11,,12,0
5 ,82.20,7,,13,0
5 ,83.68,14,,14,0
5 ,84.48,9,,15,0
5 ,91.58,12,,16,0
5 ,92.66,10,,17,0
5 ,95.62,4,,18,0
5 ,95.96,13,,19,0
5 ,97.56,15,,20,0
6 ,61.81,1,1,1,27
6 ,63.87,14,,2,18
6 ,65.13,17,,3,15
6 ,65.69,18,,4,12
6 ,67.12,4,,5,10
6 ,67.94,19,,6,8
6 ,68.86,12,,7,6
6 ,70.62,7,,8,4
6 ,72.97,8,,9,2
6 ,73.71,20,,10,1
6 ,84.54,10,,11,0
6 ,84.73,5,,12,0
6 ,85.70,2,,13,0
6 ,89.61,9,,14,0
6 ,94.96,11,,15,0
6 ,96.50,3,,16,0
6 ,97.69,6,,17,0
6 ,97.79,15,,18,0
6 ,98.16,16,,19,0
6 ,98.37,13,,20,0
7 ,61.38,14,,1,26
7 ,62.93,17,1,2,19
7 ,63.42,8,,3,15
7 ,65.44,10,,4,12
7 ,69.54,19,,5,10
7 ,75.01,5,,6,8
7 ,75.51,2,,7,6
7 ,79.49,20,,8,4
7 ,81.59,4,,9,2
7 ,83.39,9,,10,1
7 ,84.31,15,,11,0
7 ,84.63,6,,12,0
7 ,86.73,7,,13,0
7 ,93.18,16,,14,0
7 ,93.39,3,,15,0
7 ,94.08,13,,16,0
7 ,94.73,12,,17,0
7 ,96.48,11,,18,0
7 ,96.49,1,,19,0
7 ,98.27,18,,20,0
8 ,64.19,10,1,1,27
8 ,65.39,6,,2,18
8 ,69.98,15,,3,15
8 ,71.64,18,,4,12
8 ,72.95,17,,5,10
8 ,76.31,9,,6,8
8 ,78.50,5,,7,6
8 ,78.58,13,,8,4
8 ,78.73,8,,9,2
8 ,79.33,2,,10,1
8 ,79.85,1,,11,0
8 ,80.89,14,,12,0
8 ,80.98,3,,13,0
8 ,81.14,11,,14,0
8 ,85.34,20,,15,0
8 ,87.84,4,,16,0
8 ,89.73,19,,17,0
8 ,91.21,7,,18,0
8 ,94.20,16,,19,0
8 ,95.51,12,,20,0
9 ,60.75,2,,1,26
9 ,61.34,6,1,2,19
9 ,65.16,13,,3,15
9 ,65.87,20,,4,12
9 ,67.13,16,,5,10
